tweet_id,date_created,favorite_count,retweet_count
877316821321428993,Wed Jun 21 00:06:44 +0000 2017,24059,4325
877201837425926144,Tue Jun 20 16:29:50 +0000 2017,23789,4607
876838120628539392,Mon Jun 19 16:24:33 +0000 2017,18162,2795
876537666061221889,Sun Jun 18 20:30:39 +0000 2017,20980,3963
876484053909872640,Sun Jun 18 16:57:37 +0000 2017,16513,1992
876120275196170240,Sat Jun 17 16:52:05 +0000 2017,24616,3891
875747767867523072,Fri Jun 16 16:11:53 +0000 2017,22033,3567
875144289856114688,Thu Jun 15 00:13:52 +0000 2017,19364,4135
875097192612077568,Wed Jun 14 21:06:43 +0000 2017,24170,5097
875021211251597312,Wed Jun 14 16:04:48 +0000 2017,22488,3956
874680097055178752,Tue Jun 13 17:29:20 +0000 2017,24511,3908
874434818259525634,Tue Jun 13 01:14:41 +0000 2017,0,12166
874296783580663808,Mon Jun 12 16:06:11 +0000 2017,22889,3472
874057562936811520,Mon Jun 12 00:15:36 +0000 2017,20051,3369
874012996292530176,Sun Jun 11 21:18:31 +0000 2017,30029,8558
873580283840344065,Sat Jun 10 16:39:04 +0000 2017,21319,3334
873337748698140672,Sat Jun 10 00:35:19 +0000 2017,0,1326
873213775632977920,Fri Jun 09 16:22:42 +0000 2017,6297,1326
872967104147763200,Fri Jun 09 00:02:31 +0000 2017,23984,4546
872820683541237760,Thu Jun 08 14:20:41 +0000 2017,13026,3158
872620804844003328,Thu Jun 08 01:06:27 +0000 2017,18269,3058
872486979161796608,Wed Jun 07 16:14:40 +0000 2017,35990,7691
872122724285648897,Tue Jun 06 16:07:15 +0000 2017,30113,6808
871879754684805121,Tue Jun 06 00:01:46 +0000 2017,32970,9213
871762521631449091,Mon Jun 05 16:15:56 +0000 2017,17820,2959
871515927908634625,Sun Jun 04 23:56:03 +0000 2017,17849,2928
871166179821445120,Sun Jun 04 00:46:17 +0000 2017,0,4880
871102520638267392,Sat Jun 03 20:33:19 +0000 2017,18485,4660
871032628920680449,Sat Jun 03 15:55:36 +0000 2017,20100,3214
870804317367881728,Sat Jun 03 00:48:22 +0000 2017,29713,5267
870726314365509632,Fri Jun 02 19:38:25 +0000 2017,105,3
870656317836468226,Fri Jun 02 15:00:16 +0000 2017,10855,2192
870374049280663552,Thu Jun 01 20:18:38 +0000 2017,73734,22673
870308999962521604,Thu Jun 01 16:00:09 +0000 2017,19422,3538
870063196459192321,Wed May 31 23:43:25 +0000 2017,32321,7053
869772420881756160,Wed May 31 04:27:59 +0000 2017,37897,8663
869702957897576449,Tue May 30 23:51:58 +0000 2017,24973,5366
869596645499047938,Tue May 30 16:49:31 +0000 2017,14138,2630
869227993411051520,Mon May 29 16:24:37 +0000 2017,18080,3192
868880397819494401,Sun May 28 17:23:24 +0000 2017,57745,12209
868639477480148993,Sun May 28 01:26:04 +0000 2017,0,1745
868622495443632128,Sun May 28 00:18:35 +0000 2017,23575,4447
868552278524837888,Sat May 27 19:39:34 +0000 2017,8940,1745
867900495410671616,Fri May 26 00:29:37 +0000 2017,21531,3555
867774946302451713,Thu May 25 16:10:44 +0000 2017,30156,6230
867421006826221569,Wed May 24 16:44:18 +0000 2017,14297,2109
867072653475098625,Tue May 23 17:40:04 +0000 2017,0,100
867051520902168576,Tue May 23 16:16:06 +0000 2017,28612,6756
866720684873056260,Mon May 22 18:21:28 +0000 2017,17820,4121
866686824827068416,Mon May 22 16:06:55 +0000 2017,17070,2955
866450705531457537,Mon May 22 00:28:40 +0000 2017,108509,30081
866334964761202691,Sun May 21 16:48:45 +0000 2017,46448,12166
866094527597207552,Sun May 21 00:53:21 +0000 2017,0,7139
865718153858494464,Fri May 19 23:57:46 +0000 2017,22854,4820
865359393868664832,Fri May 19 00:12:11 +0000 2017,23516,4273
865006731092295680,Thu May 18 00:50:50 +0000 2017,24967,6640
864873206498414592,Wed May 17 16:00:15 +0000 2017,28758,7479
864279568663928832,Tue May 16 00:41:21 +0000 2017,13030,2572
864197398364647424,Mon May 15 19:14:50 +0000 2017,26554,7560
863907417377173506,Mon May 15 00:02:33 +0000 2017,18378,3579
863553081350529029,Sun May 14 00:34:33 +0000 2017,13639,3617
863471782782697472,Sat May 13 19:11:30 +0000 2017,0,2087
863432100342583297,Sat May 13 16:33:49 +0000 2017,21233,4545
863427515083354112,Sat May 13 16:15:35 +0000 2017,1956,80
863079547188785154,Fri May 12 17:12:53 +0000 2017,7869,950
863062471531167744,Fri May 12 16:05:02 +0000 2017,7501,2087
862831371563274240,Fri May 12 00:46:44 +0000 2017,17179,4448
862722525377298433,Thu May 11 17:34:13 +0000 2017,15288,3078
862457590147678208,Thu May 11 00:01:27 +0000 2017,18214,4232
862096992088072192,Wed May 10 00:08:34 +0000 2017,66001,19922
861383897657036800,Mon May 08 00:54:59 +0000 2017,32197,9238
861288531465048066,Sun May 07 18:36:02 +0000 2017,15311,3577
861005113778896900,Sat May 06 23:49:50 +0000 2017,14958,3322
860981674716409858,Sat May 06 22:16:42 +0000 2017,0,1851
860924035999428608,Sat May 06 18:27:40 +0000 2017,0,676
860563773140209665,Fri May 05 18:36:06 +0000 2017,6703,1851
860524505164394496,Fri May 05 16:00:04 +0000 2017,21185,4589
860276583193509888,Thu May 04 23:34:55 +0000 2017,16533,3057
860184849394610176,Thu May 04 17:30:24 +0000 2017,14971,5107
860177593139703809,Thu May 04 17:01:34 +0000 2017,0,26638
859924526012018688,Thu May 04 00:15:58 +0000 2017,17573,3573
859851578198683649,Wed May 03 19:26:06 +0000 2017,13949,3061
859607811541651456,Wed May 03 03:17:27 +0000 2017,16788,1361
859196978902773760,Tue May 02 00:04:57 +0000 2017,80187,26190
859074603037188101,Mon May 01 15:58:40 +0000 2017,30331,11927
858860390427611136,Mon May 01 01:47:28 +0000 2017,0,7058
858843525470990336,Mon May 01 00:40:27 +0000 2017,14085,3019
858471635011153920,Sun Apr 30 00:02:42 +0000 2017,19428,4243
858107933456039936,Fri Apr 28 23:57:28 +0000 2017,14192,2534
857989990357356544,Fri Apr 28 16:08:49 +0000 2017,14459,2261
857746408056729600,Fri Apr 28 00:00:54 +0000 2017,30720,9319
857393404942143489,Thu Apr 27 00:38:11 +0000 2017,5299,1437
857263160327368704,Wed Apr 26 16:00:39 +0000 2017,18205,3964
857214891891077121,Wed Apr 26 12:48:51 +0000 2017,204,16
857062103051644929,Wed Apr 26 02:41:43 +0000 2017,0,146
857029823797047296,Wed Apr 26 00:33:27 +0000 2017,16994,3474
856543823941562368,Mon Apr 24 16:22:16 +0000 2017,14795,2537
856526610513747968,Mon Apr 24 15:13:52 +0000 2017,10805,1651
856288084350160898,Sun Apr 23 23:26:03 +0000 2017,486,15
856282028240666624,Sun Apr 23 23:01:59 +0000 2017,25157,5565
855862651834028034,Sat Apr 22 19:15:32 +0000 2017,302,21
855860136149123072,Sat Apr 22 19:05:32 +0000 2017,4400,849
855857698524602368,Sat Apr 22 18:55:51 +0000 2017,10836,1854
855851453814013952,Sat Apr 22 18:31:02 +0000 2017,41814,16086
855818117272018944,Sat Apr 22 16:18:34 +0000 2017,24233,4801
855459453768019968,Fri Apr 21 16:33:22 +0000 2017,27029,7287
855245323840757760,Fri Apr 21 02:22:29 +0000 2017,0,5252
855138241867124737,Thu Apr 20 19:16:59 +0000 2017,0,36
854732716440526848,Wed Apr 19 16:25:34 +0000 2017,20622,5335
854482394044301312,Tue Apr 18 23:50:52 +0000 2017,26506,6004
854365224396361728,Tue Apr 18 16:05:17 +0000 2017,17161,4135
854120357044912130,Mon Apr 17 23:52:16 +0000 2017,29139,6575
854010172552949760,Mon Apr 17 16:34:26 +0000 2017,14811,2786
853760880890318849,Mon Apr 17 00:03:50 +0000 2017,26009,5107
853639147608842240,Sun Apr 16 16:00:07 +0000 2017,31466,8844
853299958564483072,Sat Apr 15 17:32:18 +0000 2017,14129,3164
852936405516943360,Fri Apr 14 17:27:40 +0000 2017,0,1783
852912242202992640,Fri Apr 14 15:51:39 +0000 2017,8236,1594
852672615818899456,Thu Apr 13 23:59:28 +0000 2017,13618,1906
852553447878664193,Thu Apr 13 16:05:56 +0000 2017,14864,3103
852311364735569921,Thu Apr 13 00:03:59 +0000 2017,30296,8853
852226086759018497,Wed Apr 12 18:25:07 +0000 2017,18297,6076
852189679701164033,Wed Apr 12 16:00:27 +0000 2017,10562,1417
851591660324737024,Tue Apr 11 00:24:08 +0000 2017,14924,3123
851464819735769094,Mon Apr 10 16:00:07 +0000 2017,22221,6295
851224888060895234,Mon Apr 10 00:06:42 +0000 2017,18994,5163
850753642995093505,Sat Apr 08 16:54:09 +0000 2017,28069,8058
850380195714523136,Fri Apr 07 16:10:12 +0000 2017,12054,2325
850333567704068097,Fri Apr 07 13:04:55 +0000 2017,3184,301
850145622816686080,Fri Apr 07 00:38:06 +0000 2017,15013,3387
850019790995546112,Thu Apr 06 16:18:05 +0000 2017,18746,4357
849776966551130114,Thu Apr 06 00:13:11 +0000 2017,27866,6802
849668094696017920,Wed Apr 05 17:00:34 +0000 2017,0,4436
849412302885593088,Wed Apr 05 00:04:08 +0000 2017,14653,2822
849336543269576704,Tue Apr 04 19:03:06 +0000 2017,10538,1685
849051919805034497,Tue Apr 04 00:12:06 +0000 2017,38912,7604
848690551926992896,Mon Apr 03 00:16:10 +0000 2017,23222,3914
848324959059550208,Sun Apr 02 00:03:26 +0000 2017,22776,4135
848213670039564288,Sat Apr 01 16:41:12 +0000 2017,7533,644
848212111729840128,Sat Apr 01 16:35:01 +0000 2017,15020,2712
847978865427394560,Sat Apr 01 01:08:10 +0000 2017,0,2915
847971574464610304,Sat Apr 01 00:39:12 +0000 2017,0,394
847962785489326080,Sat Apr 01 00:04:17 +0000 2017,21695,4563
